,adult,backdrop_path,belongs_to_collection,budget,genres,homepage,id,imdb_id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count,success,status_code,status_message
43,,,,,,,,,,,,,,,,,,,,,,,,,,False,34.0,The resource you requested could not be found.
44,False,,,0.0,"[{'id': 28, 'name': '액션'}]",,900044.0,tt14696826,id,Agen Resep Rahasia,,0.84,,[],[],2018-11-19,0.0,0.0,[],Released,,Agen Resep Rahasia,False,6.0,1.0,,,
45,False,,,0.0,"[{'id': 35, 'name': '코미디'}]",,900045.0,,en,Automatic Everything,,1.529,,"[{'id': 164795, 'logo_path': None, 'name': 'Yours Truly', 'origin_country': ''}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2022-01-01,0.0,96.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",In Production,,Automatic Everything,False,0.0,0.0,,,
46,False,/s6EHBy0ZhraiKW2e87MZnuiDl4.jpg,,0.0,"[{'id': 99, 'name': '다큐멘터리'}]",,900046.0,,es,Megalópolis,,0.948,/niBYaWUtyUhdt5q6aovod6SLWyQ.jpg,[],"[{'iso_3166_1': 'MX', 'name': 'Mexico'}]",2021-11-04,0.0,8.0,"[{'english_name': 'Spanish', 'iso_639_1': 'es', 'name': 'Español'}]",Released,,Megalópolis,False,0.0,0.0,,,
47,False,/aXc9nBgtdYi3RgMaNOEEEwYgw0N.jpg,,0.0,"[{'id': 18, 'name': '드라마'}]",,900047.0,tt15133684,en,A Jenkins Family Christmas,,5.277,/hKZoe0etv0LE97NPieNZ8bUsean.jpg,[],[],2021-11-18,0.0,94.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,,A Jenkins Family Christmas,False,0.0,0.0,,,
48,False,/5KdX5ZBFEnVbnerUP1gHc02vNHR.jpg,,0.0,"[{'id': 18, 'name': '드라마'}, {'id': 10749, 'name': '로맨스'}]",,900048.0,,es,Lluvia después del concierto,,1.048,/ml2Vm3Wqrvw8tu8h9QdgXx5ksRf.jpg,[],"[{'iso_3166_1': 'MX', 'name': 'Mexico'}]",2021-11-04,0.0,12.0,"[{'english_name': 'Spanish', 'iso_639_1': 'es', 'name': 'Español'}]",Released,,Lluvia después del concierto,False,0.0,0.0,,,
49,False,,,0.0,[],,900049.0,tt11834320,en,Dotty and Soul,,0.6,/6U9PGD2MVWx4UhaIcujWSMgLVvS.jpg,[],[],,0.0,0.0,[],In Production,,Dotty and Soul,False,0.0,0.0,,,
50,False,,,0.0,[],,900050.0,tt0318376,en,Crawley,,0.6,/1yNhDxTazBcrGI9jXPVTJYw3ZLZ.jpg,[],[],1999-08-18,0.0,7.0,[],Released,,Crawley,False,0.0,0.0,,,
51,False,/pgbW1nSYRdlY3eq6CfJu0ypsr6U.jpg,,0.0,"[{'id': 99, 'name': '다큐멘터리'}]",,900051.0,tt13514542,es,Filamento,,0.933,/2AbECzNQNDwbqBXwLxA1FIDd2cT.jpg,"[{'id': 164796, 'logo_path': '/Aq2nlDuAD5mPzq1KgIVFPfSrbvj.png', 'name': 'Grosso Modo Studio', 'origin_country': 'ES'}]","[{'iso_3166_1': 'ES', 'name': 'Spain'}]",2021-11-04,0.0,7.0,"[{'english_name': 'Spanish', 'iso_639_1': 'es', 'name': 'Español'}]",Released,,Filamento,False,0.0,0.0,,,
52,False,,,0.0,"[{'id': 27, 'name': '공포'}]",,900052.0,tt5118126,id,菜籃公,,0.6,/mVAj2QEHf59g3dP3tXPhjcrsZYa.jpg,"[{'id': 4091, 'logo_path': None, 'name': 'Rexinema', 'origin_country': ''}]","[{'iso_3166_1': 'ID', 'name': 'Indonesia'}]",2015-10-22,0.0,0.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'Indonesian', 'iso_639_1': 'id', 'name': 'Bahasa indonesia'}]",Released,,菜籃公,False,0.0,0.0,,,
53,False,,,0.0,[],,900053.0,,ko,신 테니스의 왕자- 베스트 게임즈!! 테즈카 vs 아토베,2019년  연재 20주년 기념!  수많은 명승부들 중 특히나 주목받은대결만을 모은  ‘베스트 게임즈’ 프로젝트가 온다!  총 3개 시리즈로 구성된 의 첫 번째 대결은  2017년 10월에 개최된 특별전시 ′올 테니프리뮤지엄 in 교토′에서  당당히 메인 테마 경기 앙케이트 1위를 차지한  관동대회 1회전 세이가쿠와효테이의단식1 경기  ′테즈카 vs 아토베′  세이가쿠와 효테이 양팀 주장의 자존심을 건 대결!  과연 승자는 누가 될 것인가?,0.6,/ipFqrw0WJAIwxH6VE8GvL3A2cQj.jpg,[],[],,0.0,46.0,[],Released,,신 테니스의 왕자- 베스트 게임즈!! 테즈카 vs 아토베,False,0.0,0.0,,,
54,False,,,0.0,"[{'id': 14, 'name': '판타지'}, {'id': 27, 'name': '공포'}]",,900054.0,,es,Luna,,1.381,/wZbM14V0jTSYCPllYeC4Im6gOMO.jpg,[],"[{'iso_3166_1': 'MX', 'name': 'Mexico'}]",2021-11-17,0.0,0.0,"[{'english_name': 'Spanish', 'iso_639_1': 'es', 'name': 'Español'}]",Released,,Luna,False,0.0,0.0,,,
55,False,,,0.0,"[{'id': 18, 'name': '드라마'}]",,900055.0,,bn,অশ্লেষা,,0.6,/qBLaCKFVyJLE6Z6akGSIZnlTbGM.jpg,"[{'id': 164797, 'logo_path': None, 'name': 'Wide Frame Studio', 'origin_country': ''}]","[{'iso_3166_1': 'BD', 'name': 'Bangladesh'}]",,0.0,0.0,"[{'english_name': 'Bengali', 'iso_639_1': 'bn', 'name': 'বাংলা'}]",Released,,অশ্লেষা,False,0.0,0.0,,,
56,False,/pVOaukLL5LB0El4SUdLlCG0i48e.jpg,,0.0,"[{'id': 99, 'name': '다큐멘터리'}]",,900056.0,tt15078656,fa,The Face of a City,,0.84,/tUz53Gxf4g6qY3Acvha8kIE9JRE.jpg,"[{'id': 164798, 'logo_path': None, 'name': 'Mise En Abyme', 'origin_country': ''}]","[{'iso_3166_1': 'CA', 'name': 'Canada'}, {'iso_3166_1': 'IR', 'name': 'Iran'}]",2021-08-10,0.0,11.0,"[{'english_name': 'Persian', 'iso_639_1': 'fa', 'name': 'فارسی'}]",Released,,The Face of a City,False,0.0,0.0,,,
57,False,,,0.0,"[{'id': 53, 'name': '스릴러'}, {'id': 27, 'name': '공포'}]",,900057.0,,es,Pandemonium,,1.799,/eKuB0r5mhctx67LdVniezZpse0R.jpg,[],"[{'iso_3166_1': 'MX', 'name': 'Mexico'}]",2021-11-17,0.0,0.0,"[{'english_name': 'Spanish', 'iso_639_1': 'es', 'name': 'Español'}]",Released,,Pandemonium,False,4.0,1.0,,,
58,False,,,0.0,[],,900058.0,,ko,신 테니스의 왕자 베스트 게임즈!! 복식경기 스페셜,2019년  연재 20주년 기념!  수많은 명승부들 중 특히나 주목받은 대결만을 모은  ‘베스트 게임즈’ 프로젝트 제2탄!  관동대회 1회전 D1 세이가쿠vs효테이  서로의 레벨 업을 위해 뭉친 이누이X카이도 페어와  레귤러 탈환을 위해 뭉친 시시도X오오토리 페어!  각자가 만족할 수 있는 시합이란 무엇인가?  관동대회 결승전 D1 세이가쿠vs릿카이  당당히 부활한 세이가쿠 골든페어를  혼란스럽게 압박해 오는 야규X니오 페어.  복식의 무한한 가능성을 보여줄 수 있을까?  온 진심을 다해 시합에 임하는 최고의 복식조와 만난다!,0.6,/ciLGxNfnrZ1YOjOL70g1APdpeWM.jpg,[],[],,0.0,48.0,[],Released,,신 테니스의 왕자 베스트 게임즈!! 복식경기 스페셜,False,0.0,0.0,,,
59,False,,,0.0,"[{'id': 10402, 'name': '음악'}, {'id': 99, 'name': '다큐멘터리'}]",,900059.0,,en,Making A Noise: A Native American Musical Journey with Robbie Robertson,,0.6,,[],[],,0.0,65.0,[],Released,,Making A Noise: A Native American Musical Journey with Robbie Robertson,False,0.0,0.0,,,
